Month,year,Category,budget amount,actual amount,variance,Status
Sep,2024,Salary,60000,1880,58120,Under Budget
Oct,2024,Shopping,5000,2233,2767,Under Budget
Oct,2024,Investment,8000,3896,4104,Under Budget
Oct,2024,Travel,4000,4453,-453,Over Budget
Oct,2024,Utilities,3000,4195,-1195,Over Budget
Oct,2024,Other,2000,9078,-7078,Over Budget
Oct,2024,Food & Drink,8000,1242,6758,Under Budget
Oct,2024,Rent,15000,1073,13927,Under Budget
Oct,2024,Health & Fitness,3000,4453,-1453,Over Budget
Oct,2024,Entertainment,2500,1158,1342,Under Budget
Oct,2024,Salary,60000,4178,55822,Under Budget
Nov,2024,Travel,4000,7874,-3874,Over Budget
Nov,2024,Rent,15000,2946,12054,Under Budget
Nov,2024,Food & Drink,8000,1441,6559,Under Budget
Nov,2024,Salary,60000,5654,54346,Under Budget
Nov,2024,Investment,8000,13167,-5167,Over Budget
Nov,2024,Other,2000,10972,-8972,Over Budget
Nov,2024,Shopping,5000,1847,3153,Under Budget
Nov,2024,Entertainment,2500,1611,889,Under Budget
Nov,2024,Health & Fitness,3000,1216,1784,Under Budget
Nov,2024,Utilities,3000,976,2024,Under Budget
Dec,2024,Utilities,3000,161,2839,Under Budget
Dec,2024,Shopping,5000,2831,2169,Under Budget
Dec,2024,Health & Fitness,3000,1428,1572,Under Budget
Dec,2024,Rent,15000,4602,10398,Under Budget
Dec,2024,Other,2000,5105,-3105,Over Budget
Dec,2024,Food & Drink,8000,406,7594,Under Budget
Dec,2024,Salary,60000,784,59216,Under Budget
Dec,2024,Entertainment,2500,727,1773,Under Budget
Dec,2024,Investment,8000,1425,6575,Under Budget
,,,,,,
