Date,Month,year,Category,Amount,Transaction Description,Payment mode,Type
03-04-2021,Apr,2021,Entertainment,318,How staff.,UPI,Expense
03-04-2021,Apr,2021,Rent,707,Authority interest red must art.,UPI,Expense
08-04-2021,Apr,2021,Rent,1528,All important shoulder she.,UPI,Expense
08-04-2021,Apr,2021,Shopping,1692,Year him thank trade.,UPI,Expense
09-04-2021,Apr,2021,Food & Drink,1222,Radio product.,UPI,Expense
11-04-2021,Apr,2021,Travel,68,President girl condition.,UPI,Expense
11-04-2021,Apr,2021,Travel,1844,More road development about.,UPI,Expense
12-04-2021,Apr,2021,Utilities,1741,Leg rest interest.,UPI,Expense
13-04-2021,Apr,2021,Shopping,148,Easy get every.,UPI,Expense
18-04-2021,Apr,2021,Food & Drink,193,Special information.,UPI,Expense
19-04-2021,Apr,2021,Shopping,845,Deal beyond almost.,UPI,Expense
19-04-2021,Apr,2021,Health & Fitness,630,Scientist i doctor.,UPI,Expense
19-04-2021,Apr,2021,Rent,1768,Cell year.,UPI,Expense
19-04-2021,Apr,2021,Investment,1168,Five our pull fly few.,UPI,Income
21-04-2021,Apr,2021,Shopping,976,Determine feel article we they.,UPI,Expense
23-04-2021,Apr,2021,Travel,439,Quickly new another general poor.,UPI,Expense
23-04-2021,Apr,2021,Health & Fitness,866,Five indicate chance heavy senior.,UPI,Expense
24-04-2021,Apr,2021,Salary,1059,Support feeling remain.,UPI,Expense
27-04-2021,Apr,2021,Entertainment,797,None whose.,UPI,Expense
27-04-2021,Apr,2021,Food & Drink,417,Care drug data position two.,UPI,Expense
27-04-2021,Apr,2021,Utilities,1531,Movie stop.,UPI,Expense
30-04-2021,Apr,2021,Rent,25,Help painting always.,UPI,Expense
02-05-2021,May,2021,Utilities,267,Source onto provide.,UPI,Expense
04-05-2021,May,2021,Entertainment,1006,Decade trade field training.,UPI,Expense
04-05-2021,May,2021,Health & Fitness,153,While bring yourself.,UPI,Expense
06-05-2021,May,2021,Food & Drink,878,Receive region however.,UPI,Expense
07-05-2021,May,2021,Rent,1726,Focus executive letter possible final.,UPI,Expense
07-05-2021,May,2021,Shopping,1422,Third letter sort reveal seven.,UPI,Expense
07-05-2021,May,2021,Rent,816,Have including none.,UPI,Expense
10-05-2021,May,2021,Utilities,1605,Administration network once.,UPI,Expense
11-05-2021,May,2021,Health & Fitness,185,Charge form here.,UPI,Expense
11-05-2021,May,2021,Entertainment,877,Nearly want front shake.,UPI,Expense
12-05-2021,May,2021,Rent,798,Leave run goal cause.,UPI,Expense
14-05-2021,May,2021,Health & Fitness,451,Contain threat wrong whatever.,UPI,Expense
14-05-2021,May,2021,Rent,1026,Stuff avoid.,UPI,Expense
15-05-2021,May,2021,Investment,3362,Include successful.,UPI,Income
17-05-2021,May,2021,Utilities,480,Religious across.,UPI,Expense
19-05-2021,May,2021,Investment,1921,Health pay project pattern.,UPI,Income
22-05-2021,May,2021,Rent,363,Administration mother in admit.,UPI,Expense
23-05-2021,May,2021,Salary,933,Within admit spend purpose south.,UPI,Expense
24-05-2021,May,2021,Salary,1365,Truth modern.,UPI,Expense
24-05-2021,May,2021,Health & Fitness,1730,People education great.,UPI,Expense
24-05-2021,May,2021,Utilities,885,Health image.,UPI,Expense
25-05-2021,May,2021,Travel,1595,Wrong difficult range.,UPI,Expense
25-05-2021,May,2021,Health & Fitness,1020,Behavior here.,UPI,Expense
27-05-2021,May,2021,Salary,85,Argue act commercial matter.,UPI,Expense
27-05-2021,May,2021,Travel,163,Not teach believe month.,UPI,Expense
29-05-2021,May,2021,Rent,1234,Deep test thought.,UPI,Expense
30-05-2021,May,2021,Salary,1165,Another avoid understand.,UPI,Expense
31-05-2021,May,2021,Food & Drink,905,Probably conference sure administration debate.,UPI,Expense
31-05-2021,May,2021,Entertainment,650,Up federal nor note.,UPI,Expense
02-06-2021,Jun,2021,Utilities,1916,Forward sense cause write right.,UPI,Expense
02-06-2021,Jun,2021,Health & Fitness,1965,Approach join stuff future.,UPI,Expense
03-06-2021,Jun,2021,Investment,820,Ahead event yeah make.,UPI,Income
06-06-2021,Jun,2021,Salary,1982,Wait it quickly produce beat.,UPI,Expense
06-06-2021,Jun,2021,Utilities,734,Require bank child.,UPI,Expense
06-06-2021,Jun,2021,Shopping,823,First blood accept final.,UPI,Expense
09-06-2021,Jun,2021,Food & Drink,1581,Bill beautiful issue.,UPI,Expense
11-06-2021,Jun,2021,Rent,666,Mention billion bed never others.,UPI,Expense
11-06-2021,Jun,2021,Shopping,575,Activity including single right.,UPI,Expense
14-06-2021,Jun,2021,Utilities,673,Occur college herself.,UPI,Expense
15-06-2021,Jun,2021,Utilities,1834,Feeling manage as.,UPI,Expense
16-06-2021,Jun,2021,Shopping,267,Inside machine baby.,UPI,Expense
20-06-2021,Jun,2021,Rent,626,Result many pattern.,UPI,Expense
20-06-2021,Jun,2021,Health & Fitness,1628,Career according.,UPI,Expense
22-06-2021,Jun,2021,Rent,1296,Success here television key.,UPI,Expense
23-06-2021,Jun,2021,Health & Fitness,46,Carry fly water cut fire.,UPI,Expense
24-06-2021,Jun,2021,Entertainment,690,Fact reason make office.,UPI,Expense
26-06-2021,Jun,2021,Entertainment,461,Heavy staff hotel box.,UPI,Expense
27-06-2021,Jun,2021,Investment,2923,Or nation race.,UPI,Income
28-06-2021,Jun,2021,Rent,1020,Well left.,UPI,Expense
28-06-2021,Jun,2021,Food & Drink,1327,Something story attorney summer.,UPI,Expense
28-06-2021,Jun,2021,Utilities,1199,Cause field education child.,UPI,Expense
28-06-2021,Jun,2021,Investment,1856,Available wrong look husband.,UPI,Income
29-06-2021,Jun,2021,Food & Drink,828,Myself so growth time.,UPI,Expense
04-07-2021,Jul,2021,Entertainment,1939,Point be shoulder price great.,UPI,Expense
04-07-2021,Jul,2021,Salary,476,Worker quality hundred sell whole.,UPI,Expense
04-07-2021,Jul,2021,Salary,1809,Action else.,UPI,Expense
06-07-2021,Jul,2021,Other,4282,Newspaper reach determine hear leg.,UPI,Income
07-07-2021,Jul,2021,Shopping,1011,General agency bit.,UPI,Expense
09-07-2021,Jul,2021,Utilities,1636,Break wait.,UPI,Expense
09-07-2021,Jul,2021,Utilities,1747,Find lay deal lot.,UPI,Expense
10-07-2021,Jul,2021,Other,3540,Just recent.,UPI,Income
10-07-2021,Jul,2021,Rent,1426,Feel special.,UPI,Expense
11-07-2021,Jul,2021,Rent,577,Support possible.,UPI,Expense
11-07-2021,Jul,2021,Travel,904,Might necessary former.,UPI,Expense
11-07-2021,Jul,2021,Shopping,193,Discussion if continue policy.,UPI,Expense
12-07-2021,Jul,2021,Salary,1770,Ahead pass culture or.,UPI,Expense
13-07-2021,Jul,2021,Shopping,116,Relate day.,UPI,Expense
14-07-2021,Jul,2021,Entertainment,778,Big the cost for leader.,UPI,Expense
15-07-2021,Jul,2021,Investment,730,Month police others particularly.,UPI,Income
19-07-2021,Jul,2021,Rent,1680,Girl suddenly.,UPI,Expense
19-07-2021,Jul,2021,Utilities,284,Try opportunity public.,UPI,Expense
23-07-2021,Jul,2021,Salary,1395,Draw bring health.,UPI,Expense
23-07-2021,Jul,2021,Other,4174,Home others offer institution main.,UPI,Income
24-07-2021,Jul,2021,Rent,48,Never majority cell.,UPI,Expense
28-07-2021,Jul,2021,Utilities,1102,People tend weight machine.,UPI,Expense
29-07-2021,Jul,2021,Shopping,231,White measure manager range.,card,Expense
02-08-2021,Aug,2021,Travel,252,Major bar air set.,card,Expense
06-08-2021,Aug,2021,Salary,135,Ever mrs.,card,Expense
07-08-2021,Aug,2021,Salary,1198,Not significant manager member.,card,Expense
07-08-2021,Aug,2021,Investment,1676,Environmental myself.,card,Income
08-08-2021,Aug,2021,Food & Drink,1233,State among rest national wrong.,card,Expense
09-08-2021,Aug,2021,Shopping,383,Fear yourself last.,card,Expense
11-08-2021,Aug,2021,Health & Fitness,145,Keep yes.,card,Expense
13-08-2021,Aug,2021,Food & Drink,787,Specific onto go.,card,Expense
13-08-2021,Aug,2021,Shopping,1962,Pattern size spend.,card,Expense
15-08-2021,Aug,2021,Food & Drink,721,Go exactly much food region.,card,Expense
16-08-2021,Aug,2021,Investment,1349,Environment teach world quickly believe.,card,Income
18-08-2021,Aug,2021,Health & Fitness,275,Yeah term.,card,Expense
20-08-2021,Aug,2021,Health & Fitness,1629,Economic represent stock.,card,Expense
21-08-2021,Aug,2021,Other,4420,Central plan physical heart.,card,Income
21-08-2021,Aug,2021,Utilities,136,Idea seek.,card,Expense
22-08-2021,Aug,2021,Salary,84,Wear force able similar.,card,Expense
23-08-2021,Aug,2021,Entertainment,1773,Play recently sure somebody.,card,Expense
24-08-2021,Aug,2021,Travel,1036,Why station manager.,card,Expense
25-08-2021,Aug,2021,Salary,514,Front official not.,card,Expense
27-08-2021,Aug,2021,Entertainment,579,Thus several animal phone.,card,Expense
29-08-2021,Aug,2021,Food & Drink,1733,Buy tax.,card,Expense
05-09-2021,Sep,2021,Rent,1601,A when dark read.,card,Expense
06-09-2021,Sep,2021,Shopping,1489,City usually ever.,card,Expense
09-09-2021,Sep,2021,Shopping,685,Bar professor power.,card,Expense
09-09-2021,Sep,2021,Other,3509,Personal rise sense investment.,card,Income
09-09-2021,Sep,2021,Travel,1604,Ability live.,card,Expense
10-09-2021,Sep,2021,Rent,867,Difficult quite act receive stage.,card,Expense
11-09-2021,Sep,2021,Utilities,1095,Local director become.,card,Expense
11-09-2021,Sep,2021,Rent,663,Finish thing.,card,Expense
11-09-2021,Sep,2021,Salary,1209,Similar send card year.,card,Expense
11-09-2021,Sep,2021,Salary,710,Most across.,card,Expense
15-09-2021,Sep,2021,Other,4063,Goal defense security turn.,card,Income
16-09-2021,Sep,2021,Food & Drink,159,Beautiful beyond sell.,card,Expense
16-09-2021,Sep,2021,Health & Fitness,1031,White fire cause everybody.,card,Expense
17-09-2021,Sep,2021,Utilities,1906,Network outside parent.,card,Expense
17-09-2021,Sep,2021,Other,785,Day parent country.,card,Income
19-09-2021,Sep,2021,Investment,3500,Position six soldier.,card,Income
19-09-2021,Sep,2021,Food & Drink,1214,History drop point audience.,card,Expense
19-09-2021,Sep,2021,Health & Fitness,750,Value car team nothing.,card,Expense
19-09-2021,Sep,2021,Utilities,1064,Raise several west side admit.,card,Expense
20-09-2021,Sep,2021,Travel,507,Energy always.,UPI,Expense
21-09-2021,Sep,2021,Investment,4588,Media pick may indeed.,UPI,Income
28-09-2021,Sep,2021,Rent,531,Policy mrs.,UPI,Expense
01-10-2021,Oct,2021,Salary,437,Base bad tv.,UPI,Expense
07-10-2021,Oct,2021,Salary,408,Force only shake power poor.,UPI,Expense
08-10-2021,Oct,2021,Investment,4203,Role suffer around beat.,UPI,Income
13-10-2021,Oct,2021,Other,1219,Law participant.,UPI,Income
13-10-2021,Oct,2021,Health & Fitness,1339,Budget remain reduce.,UPI,Expense
13-10-2021,Oct,2021,Travel,1784,Well mission situation result.,UPI,Expense
16-10-2021,Oct,2021,Utilities,1589,Camera sit environmental though.,UPI,Expense
20-10-2021,Oct,2021,Rent,1970,Southern evening ask republican.,UPI,Expense
21-10-2021,Oct,2021,Entertainment,1583,Baby lawyer growth matter note.,UPI,Expense
22-10-2021,Oct,2021,Other,4328,Effort bill off.,UPI,Income
24-10-2021,Oct,2021,Utilities,1228,Scientist able teach.,UPI,Expense
24-10-2021,Oct,2021,Other,3761,Animal hair turn.,UPI,Income
27-10-2021,Oct,2021,Salary,1056,Need trial.,UPI,Expense
27-10-2021,Oct,2021,Rent,259,Focus indicate result.,UPI,Expense
30-10-2021,Oct,2021,Rent,905,Number budget.,UPI,Expense
03-11-2021,Nov,2021,Health & Fitness,265,Development middle animal.,UPI,Expense
04-11-2021,Nov,2021,Utilities,1538,Theory tend.,UPI,Expense
05-11-2021,Nov,2021,Investment,1517,Beat lead hard factor.,UPI,Income
05-11-2021,Nov,2021,Travel,338,Drug happy will young simply.,UPI,Expense
06-11-2021,Nov,2021,Entertainment,699,Character usually agency.,UPI,Expense
07-11-2021,Nov,2021,Travel,1693,Player really act friend.,UPI,Expense
10-11-2021,Nov,2021,Travel,259,Billion morning draw.,UPI,Expense
15-11-2021,Nov,2021,Rent,1010,Win central.,UPI,Expense
16-11-2021,Nov,2021,Investment,1902,Analysis discuss.,UPI,Income
17-11-2021,Nov,2021,Health & Fitness,1687,Red head window be.,UPI,Expense
18-11-2021,Nov,2021,Food & Drink,172,Card star avoid nothing.,UPI,Expense
18-11-2021,Nov,2021,Travel,1306,Door end fire.,UPI,Expense
19-11-2021,Nov,2021,Shopping,1240,Fish evening avoid dark.,UPI,Expense
21-11-2021,Nov,2021,Other,2974,Choice clearly.,UPI,Income
21-11-2021,Nov,2021,Shopping,602,Image movie who debate.,UPI,Expense
21-11-2021,Nov,2021,Investment,1794,Enter build citizen rather.,UPI,Income
23-11-2021,Nov,2021,Salary,934,Structure foreign before.,UPI,Expense
26-11-2021,Nov,2021,Utilities,632,How any federal star.,UPI,Expense
27-11-2021,Nov,2021,Health & Fitness,1951,Weight take.,UPI,Expense
28-11-2021,Nov,2021,Other,4718,Economic left sound cause activity.,UPI,Income
01-12-2021,Dec,2021,Health & Fitness,491,Cup hundred rather.,UPI,Expense
02-12-2021,Dec,2021,Other,2530,Only true avoid young cup.,UPI,Income
03-12-2021,Dec,2021,Investment,2877,Begin suggest speak.,UPI,Income
03-12-2021,Dec,2021,Shopping,504,Walk anything.,UPI,Expense
08-12-2021,Dec,2021,Utilities,1629,Start house ahead raise.,UPI,Expense
09-12-2021,Dec,2021,Health & Fitness,388,Democrat cost evidence third.,UPI,Expense
09-12-2021,Dec,2021,Other,4585,People early far include nearly.,UPI,Income
11-12-2021,Dec,2021,Salary,56,Evidence case.,UPI,Expense
12-12-2021,Dec,2021,Salary,1934,Eat yes myself affect him.,UPI,Expense
13-12-2021,Dec,2021,Health & Fitness,107,Name machine tree maybe.,UPI,Expense
13-12-2021,Dec,2021,Salary,579,Conference five despite.,UPI,Expense
15-12-2021,Dec,2021,Investment,4030,Speak line.,UPI,Income
15-12-2021,Dec,2021,Other,3496,Yourself wind beyond prevent entire.,UPI,Income
16-12-2021,Dec,2021,Health & Fitness,100,Offer work home.,UPI,Expense
19-12-2021,Dec,2021,Investment,3469,Door fish scene.,UPI,Income
20-12-2021,Dec,2021,Rent,779,Agreement red way nor none.,UPI,Expense
20-12-2021,Dec,2021,Travel,1652,My compare also argue.,UPI,Expense
23-12-2021,Dec,2021,Rent,266,Money a.,UPI,Expense
24-12-2021,Dec,2021,Other,3277,Future concern sort.,UPI,Income
26-12-2021,Dec,2021,Health & Fitness,1512,Against only.,UPI,Expense
28-12-2021,Dec,2021,Other,4596,Suffer team.,UPI,Income
31-12-2021,Dec,2021,Investment,1622,Relate product only from.,UPI,Income
01-01-2022,Jan,2022,Salary,1043,Wish run join.,UPI,Expense
03-01-2022,Jan,2022,Investment,3186,Company why really up.,UPI,Income
03-01-2022,Jan,2022,Health & Fitness,333,Program sport her.,UPI,Expense
03-01-2022,Jan,2022,Travel,1192,Concern ability reduce.,UPI,Expense
04-01-2022,Jan,2022,Salary,1420,Surface side nothing consider.,UPI,Expense
05-01-2022,Jan,2022,Food & Drink,743,Determine not view cell seat.,UPI,Expense
06-01-2022,Jan,2022,Shopping,1172,Word collection those become.,UPI,Expense
08-01-2022,Jan,2022,Food & Drink,1198,Activity decide really go.,UPI,Expense
09-01-2022,Jan,2022,Entertainment,1446,Answer just.,UPI,Expense
13-01-2022,Jan,2022,Utilities,1053,This manage her.,UPI,Expense
13-01-2022,Jan,2022,Shopping,304,Big look tell prepare.,UPI,Expense
14-01-2022,Jan,2022,Food & Drink,1149,Later son almost.,UPI,Expense
16-01-2022,Jan,2022,Entertainment,48,End bit game thousand.,UPI,Expense
16-01-2022,Jan,2022,Utilities,832,Natural together.,UPI,Expense
18-01-2022,Jan,2022,Salary,1747,Order party lot all.,UPI,Expense
18-01-2022,Jan,2022,Food & Drink,1414,Threat church big day couple.,UPI,Expense
21-01-2022,Jan,2022,Health & Fitness,1996,Enter example down anyone occur.,UPI,Expense
21-01-2022,Jan,2022,Shopping,634,Approach about because.,UPI,Expense
22-01-2022,Jan,2022,Other,4975,Best deal point.,UPI,Income
23-01-2022,Jan,2022,Travel,1224,Such final however major.,UPI,Expense
24-01-2022,Jan,2022,Investment,2785,Politics hold.,UPI,Income
28-01-2022,Jan,2022,Entertainment,1884,Hard knowledge enjoy let.,UPI,Expense
01-02-2022,Feb,2022,Travel,1413,Nor character recent.,UPI,Expense
02-02-2022,Feb,2022,Salary,641,Property space.,UPI,Expense
05-02-2022,Feb,2022,Travel,583,Dinner article hit mission whole.,UPI,Expense
05-02-2022,Feb,2022,Shopping,1793,Think live bad total research.,UPI,Expense
06-02-2022,Feb,2022,Health & Fitness,1910,Too song quality per build.,UPI,Expense
08-02-2022,Feb,2022,Travel,94,We cold deep.,UPI,Expense
08-02-2022,Feb,2022,Rent,699,Amount bad raise.,UPI,Expense
09-02-2022,Feb,2022,Travel,1497,Challenge organization floor road southern.,UPI,Expense
10-02-2022,Feb,2022,Travel,1867,News need task mind.,UPI,Expense
10-02-2022,Feb,2022,Utilities,227,Onto site both change note.,UPI,Expense
10-02-2022,Feb,2022,Entertainment,492,Understand none.,UPI,Expense
10-02-2022,Feb,2022,Entertainment,1280,Test they there.,UPI,Expense
11-02-2022,Feb,2022,Other,3205,Pressure occur list common.,UPI,Income
14-02-2022,Feb,2022,Rent,1366,Peace race i.,UPI,Expense
17-02-2022,Feb,2022,Investment,3833,Real any little environmental.,UPI,Income
17-02-2022,Feb,2022,Salary,960,Full soldier.,UPI,Expense
17-02-2022,Feb,2022,Other,3131,Successful teach range.,UPI,Income
17-02-2022,Feb,2022,Food & Drink,1817,Feel season similar.,UPI,Expense
18-02-2022,Feb,2022,Investment,4883,Rock painting become.,UPI,Income
21-02-2022,Feb,2022,Food & Drink,1827,Tree imagine machine.,UPI,Expense
22-02-2022,Feb,2022,Investment,797,Start middle city find.,UPI,Income
22-02-2022,Feb,2022,Shopping,1578,Career surface these ahead.,UPI,Expense
25-02-2022,Feb,2022,Other,806,Student economic lead.,UPI,Income
27-02-2022,Feb,2022,Investment,3244,Ever statement measure.,UPI,Income
01-03-2022,Mar,2022,Salary,1780,Drop major.,UPI,Expense
02-03-2022,Mar,2022,Other,2735,Whether listen necessary.,UPI,Income
04-03-2022,Mar,2022,Investment,3208,Study else store.,UPI,Income
05-03-2022,Mar,2022,Other,2607,Agree anyone take.,UPI,Income
07-03-2022,Mar,2022,Food & Drink,1476,Positive question especially.,UPI,Expense
07-03-2022,Mar,2022,Entertainment,359,After sister should across treatment.,UPI,Expense
12-03-2022,Mar,2022,Shopping,1656,Song difference part wall require.,UPI,Expense
14-03-2022,Mar,2022,Rent,808,Time surface learn design.,UPI,Expense
17-03-2022,Mar,2022,Investment,4411,Station however bill memory production.,UPI,Income
17-03-2022,Mar,2022,Entertainment,24,Positive participant fear blue as.,UPI,Expense
18-03-2022,Mar,2022,Salary,1510,Technology end represent throughout.,UPI,Expense
18-03-2022,Mar,2022,Travel,1169,Change she tonight.,UPI,Expense
18-03-2022,Mar,2022,Travel,1311,Race return pretty young.,UPI,Expense
20-03-2022,Mar,2022,Food & Drink,1339,Identify say on yes.,UPI,Expense
20-03-2022,Mar,2022,Utilities,817,Risk develop movement size.,UPI,Expense
22-03-2022,Mar,2022,Travel,1384,Feel color price next.,UPI,Expense
23-03-2022,Mar,2022,Travel,741,Likely scientist.,UPI,Expense
23-03-2022,Mar,2022,Utilities,962,Water tonight pressure.,UPI,Expense
24-03-2022,Mar,2022,Health & Fitness,838,Development the inside thought.,UPI,Expense
25-03-2022,Mar,2022,Salary,1517,One less brother.,UPI,Expense
26-03-2022,Mar,2022,Entertainment,1526,Oil per line create build.,UPI,Expense
27-03-2022,Mar,2022,Rent,1056,Fear approach take case customer.,UPI,Expense
28-03-2022,Mar,2022,Health & Fitness,165,Throughout would century television congress.,UPI,Expense
28-03-2022,Mar,2022,Food & Drink,1659,Forward would finish around.,UPI,Expense
28-03-2022,Mar,2022,Entertainment,1150,Decide similar office.,UPI,Expense
28-03-2022,Mar,2022,Other,4762,Size sister can its.,UPI,Income
29-03-2022,Mar,2022,Entertainment,1437,Investment local above move.,UPI,Expense
29-03-2022,Mar,2022,Salary,1619,Throughout series.,card,Expense
31-03-2022,Mar,2022,Shopping,919,Adult above safe.,card,Expense
31-03-2022,Mar,2022,Other,3024,Fine bill me fill.,card,Income
31-03-2022,Mar,2022,Shopping,516,Fear fact.,card,Expense
01-04-2022,Apr,2022,Investment,1098,Model its rather card you.,card,Income
01-04-2022,Apr,2022,Other,1022,Seek close trade speech.,card,Income
01-04-2022,Apr,2022,Food & Drink,1870,Difference world deep.,net banking,Expense
01-04-2022,Apr,2022,Other,759,Mean but represent society heart.,net banking,Income
02-04-2022,Apr,2022,Utilities,1540,Perhaps order answer blue structure.,net banking,Expense
02-04-2022,Apr,2022,Shopping,755,Indicate herself.,net banking,Expense
03-04-2022,Apr,2022,Salary,1741,Listen check receive.,net banking,Expense
03-04-2022,Apr,2022,Shopping,170,Inside big minute.,net banking,Expense
04-04-2022,Apr,2022,Utilities,1311,Store bit responsibility brother.,net banking,Expense
05-04-2022,Apr,2022,Utilities,1986,Marriage participant.,net banking,Expense
08-04-2022,Apr,2022,Utilities,1458,Win group important civil nature.,net banking,Expense
09-04-2022,Apr,2022,Food & Drink,1515,Former able public trade.,net banking,Expense
09-04-2022,Apr,2022,Salary,1350,Chance bed memory rich.,net banking,Expense
10-04-2022,Apr,2022,Shopping,1648,Popular lead with.,net banking,Expense
10-04-2022,Apr,2022,Health & Fitness,319,Anyone spend them system.,net banking,Expense
16-04-2022,Apr,2022,Investment,763,International break surface three.,net banking,Income
18-04-2022,Apr,2022,Shopping,1234,Professional color group.,net banking,Expense
18-04-2022,Apr,2022,Food & Drink,489,Environmental run head garden box.,net banking,Expense
21-04-2022,Apr,2022,Investment,4157,Even history surface son.,net banking,Income
22-04-2022,Apr,2022,Food & Drink,497,Car risk.,net banking,Expense
22-04-2022,Apr,2022,Other,2419,Indeed opportunity.,net banking,Income
24-04-2022,Apr,2022,Food & Drink,289,Consider here grow agreement.,net banking,Expense
24-04-2022,Apr,2022,Entertainment,1633,Turn both in animal.,net banking,Expense
29-04-2022,Apr,2022,Health & Fitness,1159,Actually than modern season.,UPI,Expense
30-04-2022,Apr,2022,Health & Fitness,481,Within prove full.,UPI,Expense
02-05-2022,May,2022,Entertainment,833,Believe product eat generation put.,UPI,Expense
02-05-2022,May,2022,Utilities,1256,Stuff next write.,UPI,Expense
03-05-2022,May,2022,Salary,103,Poor church.,UPI,Expense
05-05-2022,May,2022,Shopping,1574,Thank avoid man drive.,UPI,Expense
05-05-2022,May,2022,Shopping,822,Medical nearly.,UPI,Expense
06-05-2022,May,2022,Utilities,1511,Stage bad know of.,UPI,Expense
07-05-2022,May,2022,Entertainment,608,Language budget market president.,UPI,Expense
07-05-2022,May,2022,Salary,1830,Include news a before.,UPI,Expense
07-05-2022,May,2022,Shopping,1119,None pressure lay future stay.,UPI,Expense
08-05-2022,May,2022,Investment,2588,Forward should outside respond.,UPI,Income
08-05-2022,May,2022,Rent,1845,Box service develop game.,UPI,Expense
09-05-2022,May,2022,Rent,1076,Miss reduce animal clearly cell.,UPI,Expense
09-05-2022,May,2022,Food & Drink,544,Effect cultural.,UPI,Expense
11-05-2022,May,2022,Food & Drink,1749,Democratic station course full.,UPI,Expense
13-05-2022,May,2022,Investment,4427,Unit study.,UPI,Income
13-05-2022,May,2022,Health & Fitness,613,Leader operation mean white.,UPI,Expense
14-05-2022,May,2022,Entertainment,1875,Save network item one under.,UPI,Expense
19-05-2022,May,2022,Rent,1496,Community spring billion price paper.,UPI,Expense
19-05-2022,May,2022,Entertainment,1394,Thing industry participant realize.,UPI,Expense
20-05-2022,May,2022,Shopping,1831,Huge garden family.,UPI,Expense
20-05-2022,May,2022,Travel,768,Include record security.,UPI,Expense
22-05-2022,May,2022,Health & Fitness,624,Team republican very plan cut.,UPI,Expense
23-05-2022,May,2022,Salary,937,Tv car report window.,UPI,Expense
24-05-2022,May,2022,Salary,1526,My pm report set.,UPI,Expense
24-05-2022,May,2022,Entertainment,748,Old wall report purpose.,UPI,Expense
25-05-2022,May,2022,Entertainment,1485,There institution actually.,UPI,Expense
27-05-2022,May,2022,Other,2918,Herself apply.,UPI,Income
28-05-2022,May,2022,Other,2384,Environment size worker.,UPI,Income
29-05-2022,May,2022,Entertainment,1004,Style real far.,UPI,Expense
29-05-2022,May,2022,Health & Fitness,522,Grow laugh.,UPI,Expense
30-05-2022,May,2022,Salary,927,Score night down.,UPI,Expense
30-05-2022,May,2022,Health & Fitness,347,Unit hold.,UPI,Expense
31-05-2022,May,2022,Salary,376,Approach season data than team.,UPI,Expense
01-06-2022,Jun,2022,Food & Drink,1053,Treatment relate positive.,UPI,Expense
01-06-2022,Jun,2022,Rent,1891,Cultural right cover large work.,UPI,Expense
04-06-2022,Jun,2022,Food & Drink,831,While same budget.,UPI,Expense
04-06-2022,Jun,2022,Entertainment,145,Evidence enough claim suffer.,UPI,Expense
06-06-2022,Jun,2022,Investment,4642,Letter visit always up.,UPI,Income
07-06-2022,Jun,2022,Food & Drink,1239,Past product make of group.,UPI,Expense
07-06-2022,Jun,2022,Salary,1322,Detail contain attention measure indeed.,UPI,Expense
11-06-2022,Jun,2022,Other,597,Begin determine degree forward.,UPI,Income
11-06-2022,Jun,2022,Other,4888,Despite sell most.,UPI,Income
12-06-2022,Jun,2022,Food & Drink,1009,Boy generation.,UPI,Expense
12-06-2022,Jun,2022,Shopping,1614,Truth during always those high.,UPI,Expense
12-06-2022,Jun,2022,Rent,1837,Either rich agency might.,UPI,Expense
13-06-2022,Jun,2022,Entertainment,392,Sort knowledge analysis together court.,UPI,Expense
17-06-2022,Jun,2022,Health & Fitness,542,Way cold.,UPI,Expense
17-06-2022,Jun,2022,Health & Fitness,1919,Account assume prove similar ten.,UPI,Expense
18-06-2022,Jun,2022,Entertainment,1981,Day stock.,UPI,Expense
19-06-2022,Jun,2022,Rent,1311,Section child.,UPI,Expense
20-06-2022,Jun,2022,Food & Drink,196,Also available concern edge.,UPI,Expense
21-06-2022,Jun,2022,Salary,122,Start treat imagine later identify.,UPI,Expense
21-06-2022,Jun,2022,Investment,1177,Hope brother.,UPI,Income
23-06-2022,Jun,2022,Shopping,1293,As second animal summer group.,UPI,Expense
23-06-2022,Jun,2022,Rent,1791,Face rate.,UPI,Expense
25-06-2022,Jun,2022,Entertainment,431,She join house.,UPI,Expense
25-06-2022,Jun,2022,Salary,549,Choose detail section someone.,UPI,Expense
26-06-2022,Jun,2022,Travel,1800,Whether century quality.,UPI,Expense
26-06-2022,Jun,2022,Food & Drink,367,Network never.,UPI,Expense
30-06-2022,Jun,2022,Food & Drink,1923,Above others.,UPI,Expense
01-07-2022,Jul,2022,Shopping,1858,Water fight security tough gas.,UPI,Expense
02-07-2022,Jul,2022,Entertainment,1138,Central contain pattern education boy.,UPI,Expense
04-07-2022,Jul,2022,Health & Fitness,774,Surface usually.,UPI,Expense
04-07-2022,Jul,2022,Rent,1007,Popular available public economy.,UPI,Expense
04-07-2022,Jul,2022,Food & Drink,204,Maintain former campaign pretty beyond.,UPI,Expense
05-07-2022,Jul,2022,Rent,688,Fish late pattern.,UPI,Expense
06-07-2022,Jul,2022,Shopping,1938,Charge note space when collection.,UPI,Expense
13-07-2022,Jul,2022,Travel,1569,Size republican political.,UPI,Expense
17-07-2022,Jul,2022,Entertainment,718,Care run there leg.,UPI,Expense
17-07-2022,Jul,2022,Shopping,380,Main board population.,UPI,Expense
17-07-2022,Jul,2022,Shopping,181,Teach cause mrs.,UPI,Expense
